,date,departamento,new_cases,new_deaths,median_age,population
0,2020-04-17,AMAZONAS,1,,31.3,79020
1,2020-04-18,AMAZONAS,3,1.0,31.3,79020
2,2020-04-21,AMAZONAS,2,,31.3,79020
3,2020-04-23,AMAZONAS,6,1.0,31.3,79020
4,2020-04-24,AMAZONAS,2,1.0,31.3,79020
5,2020-04-25,AMAZONAS,23,1.0,31.3,79020
6,2020-04-26,AMAZONAS,3,1.0,31.3,79020
7,2020-04-28,AMAZONAS,37,2.0,31.3,79020
8,2020-04-29,AMAZONAS,27,3.0,31.3,79020
9,2020-05-01,AMAZONAS,1,2.0,31.3,79020
10,2020-05-02,AMAZONAS,31,1.0,31.3,79020
11,2020-05-03,AMAZONAS,46,,31.3,79020
12,2020-05-04,AMAZONAS,47,1.0,31.3,79020
13,2020-05-05,AMAZONAS,1,3.0,31.3,79020
14,2020-05-07,AMAZONAS,188,8.0,31.3,79020
15,2020-05-08,AMAZONAS,12,2.0,31.3,79020
16,2020-05-09,AMAZONAS,3,,31.3,79020
17,2020-05-10,AMAZONAS,94,,31.3,79020
18,2020-05-11,AMAZONAS,191,2.0,31.3,79020
19,2020-05-12,AMAZONAS,25,2.0,31.3,79020
20,2020-05-13,AMAZONAS,128,4.0,31.3,79020
21,2020-05-14,AMAZONAS,53,2.0,31.3,79020
22,2020-05-15,AMAZONAS,79,2.0,31.3,79020
23,2020-05-16,AMAZONAS,1,1.0,31.3,79020
24,2020-05-17,AMAZONAS,3,2.0,31.3,79020
25,2020-05-18,AMAZONAS,176,4.0,31.3,79020
26,2020-05-19,AMAZONAS,38,3.0,31.3,79020
27,2020-05-20,AMAZONAS,91,,31.3,79020
28,2020-05-21,AMAZONAS,73,1.0,31.3,79020
29,2020-05-22,AMAZONAS,1,2.0,31.3,79020
30,2020-05-23,AMAZONAS,2,2.0,31.3,79020
31,2020-05-24,AMAZONAS,62,2.0,31.3,79020
32,2020-05-25,AMAZONAS,55,,31.3,79020
33,2020-05-26,AMAZONAS,29,2.0,31.3,79020
34,2020-05-27,AMAZONAS,189,6.0,31.3,79020
35,2020-05-28,AMAZONAS,39,,31.3,79020
36,2020-05-29,AMAZONAS,38,1.0,31.3,79020
37,2020-05-30,AMAZONAS,34,1.0,31.3,79020
38,2020-05-31,AMAZONAS,16,,31.3,79020
39,2020-06-02,AMAZONAS,4,3.0,31.3,79020
